id,value
1,10
2,52
3,1
4,10
5,78
6,30
7,85
8,68
9,10
10,55
11,42
12,67
13,19
14,99
15,87
16,63
17,84
18,42
19,8
20,86
21,53
22,94
23,32
24,51
25,41
26,88
27,98
28,19
29,37
30,87
31,90
32,87
33,96
34,44
35,84
36,88
37,99
38,49
39,31
40,15
41,16
42,86
43,51
44,68
45,80
46,66
47,91
48,86
49,39
50,96
51,65
52,26
53,86
54,22
55,93
56,23
57,43
58,9
59,56
60,21
61,58
62,52
63,71
64,12
65,28
66,21
67,94
68,43
69,75
70,20
71,49
72,49
73,68
74,35
75,69
76,15
77,90
78,13
79,5
80,28
81,66
82,1
83,18
84,90
85,43
86,75
87,33
88,70
89,26
90,92
91,58
92,67
93,94
94,65
95,89
96,99
97,3
98,11
99,47
100,59
101,86
102,19
103,38
104,81
105,1
106,9
107,50
108,54
109,90
110,36
111,4
112,6
113,16
114,44
115,51
116,89
117,4
118,63
119,85
120,95
121,28
122,80
123,59
124,73
125,100
126,23
127,13
128,84
129,70
130,68
131,1
132,58
133,36
134,42
135,52
136,3
137,27
138,72
139,83
140,58
141,42
142,55
143,53
144,96
145,5
146,85
147,55
148,69
149,89
150,20
151,52
152,29
153,48
154,8
155,7
156,18
157,73
158,20
159,62
160,43
161,72
162,49
163,61
164,92
165,71
166,91
167,26
168,49
169,78
170,3
171,1
172,24
173,53
174,72
175,9
176,69
177,76
178,76
179,44
180,24
181,30
182,7
183,13
184,91
185,79
186,82
187,85
188,35
189,48
190,90
191,29
192,35
193,56
194,10
195,37
196,17
197,38
198,19
199,75
200,39
201,91
202,4
203,80
204,20
205,97
206,95
207,17
208,100
209,81
210,89
211,34
212,57
213,94
214,90
215,69
216,7
217,55
218,53
219,53
220,12
221,94
222,73
223,73
224,44
225,90
226,23
227,58
228,60
229,23
230,3
231,88
232,33
233,95
234,85
235,23
236,46
237,85
238,97
239,82
240,48
241,86
242,40
243,21
244,54
245,81
246,33
247,92
248,5
249,28
250,91
251,37
252,64
253,75
254,7
255,39
256,83
257,50
258,12
259,41
260,41
261,47
262,9
263,66
264,9
265,89
266,88
267,14
268,82
269,79
270,52
271,2
272,56
273,74
274,48
275,20
276,11
277,24
278,49
279,97
280,67
281,56
282,68
283,93
284,91
285,43
286,32
287,81
288,39
289,24
290,21
291,26
292,80
293,49
294,59
295,68
296,48
297,4
298,81
299,69
300,14
301,46
302,65
303,39
304,67
305,17
306,32
307,60
308,17
309,63
310,46
311,68
312,40
313,99
314,64
315,33
316,85
317,42
318,21
319,33
320,33
321,75
322,67
323,9
324,29
325,37
326,78
327,50
328,32
329,63
330,96
331,100
332,84
333,25
334,22
335,30
336,98
337,28
338,26
339,8
340,89
341,3
342,36
343,9
344,74
345,22
346,76
347,97
348,88
349,55
350,42
351,9
352,39
353,88
354,23
355,36
356,47
357,58
358,11
359,3
360,92
361,97
362,68
363,68
364,59
365,42
366,2
367,19
368,67
369,57
370,16
371,36
372,98
373,74
374,70
375,42
376,66
377,23
378,74
379,34
380,71
381,31
382,74
383,56
384,23
385,42
386,18
387,47
388,58
389,59
390,69
391,68
392,11
393,81
394,2
395,11
396,19
397,81
398,19
399,12
400,83
401,54
402,19
403,11
404,6
405,87
406,56
407,90
408,13
409,95
410,91
411,99
412,10
413,35
414,80
415,47
416,11
417,23
418,42
419,91
420,90
421,90
422,10
423,51
424,86
425,31
426,33
427,3
428,65
429,23
430,2
431,42
432,32
433,84
434,38
435,58
436,5
437,21
438,78
439,39
440,96
441,72
442,96
443,7
444,49
445,23
446,62
447,10
448,30
449,52
450,50
451,68
452,48
453,81
454,32
455,90
456,74
457,9
458,11
459,46
460,75
461,56
462,33
463,25
464,60
465,95
466,46
467,67
468,16
469,92
470,58
471,24
472,98
473,85
474,21
475,26
476,39
477,99
478,29
479,49
480,41
481,2
482,3
483,88
484,5
485,64
486,85
487,21
488,42
489,68
490,17
491,22
492,30
493,30
494,69
495,85
496,94
497,66
498,38
499,56
500,57
501,61
502,97
